TOP6d155165	START
TOP79e7ab6a	veracrypt_pim	0
TOP79e7ab6a	target	../Avancement grade.pot
TOP79e7ab6a	hashlist_mode	4
TOP79e7ab6a	hashlist_format	0
TOPa2d76f4d	START
TOPa2d76f4d	attack_mode	3
TOPa2d76f4d	attack_kern	3
TOPa2d76f4d	benchmark	0
TOPa2d76f4d	stdout_flag	0
TOPa2d76f4d	bitmap_min	16
TOPa2d76f4d	bitmap_max	24
TOPa2d76f4d	debug_mode	0
TOPa2d76f4d	force	0
TOPa2d76f4d	kernel_accel	0
TOPa2d76f4d	kernel_loops	0
TOPa2d76f4d	nvidia_spin_damp	100
TOPa2d76f4d	gpu_temp_disable	0
TOPa2d76f4d	gpu_temp_abort	90
TOPa2d76f4d	gpu_temp_retain	75
TOPa2d76f4d	hash_mode	9600
TOPa2d76f4d	hex_charset	0
TOPa2d76f4d	hex_salt	0
TOPa2d76f4d	hex_wordlist	0
TOPa2d76f4d	increment	0
TOPa2d76f4d	increment_max	54
TOPa2d76f4d	increment_min	1
TOPa2d76f4d	keyspace	0
TOPa2d76f4d	left	0
TOPa2d76f4d	logfile_disable	0
TOPa2d76f4d	loopback	0
TOPa2d76f4d	markov_classic	0
TOPa2d76f4d	markov_disable	0
TOPa2d76f4d	markov_threshold	0
TOPa2d76f4d	outfile_autohex	1
TOPa2d76f4d	outfile_check_timer	5
TOPa2d76f4d	outfile_format	3
TOPa2d76f4d	potfile_disable	0
TOPa2d76f4d	powertune_enable	0
TOPa2d76f4d	scrypt_tmto	0
TOPa2d76f4d	quiet	0
TOPa2d76f4d	remove	0
TOPa2d76f4d	remove_timer	60
TOPa2d76f4d	restore	0
TOPa2d76f4d	restore_disable	0
TOPa2d76f4d	restore_timer	60
TOPa2d76f4d	rp_gen	0
TOPa2d76f4d	rp_gen_func_max	4
TOPa2d76f4d	rp_gen_func_min	1
TOPa2d76f4d	rp_gen_seed	0
TOPa2d76f4d	runtime	0
TOPa2d76f4d	segment_size	32
TOPa2d76f4d	show	0
TOPa2d76f4d	status	1
TOPa2d76f4d	machine_readable	0
TOPa2d76f4d	status_timer	10
TOPa2d76f4d	usage	0
TOPa2d76f4d	username	0
TOPa2d76f4d	version	0
TOPa2d76f4d	weak_hash_threshold	0
TOPa2d76f4d	workload_profile	2
TOPa2d76f4d	limit	0
TOPa2d76f4d	skip	0
