# Fichier d'exportation de valeurs de pixels transparents généré par QGIS
#
#
# Rouge	Vert	Blue	Transparence (%)

246	248	247	97
246	248	246	97
246	248	245	97
246	247	255	98
246	247	254	98
246	247	253	98
246	247	252	97
246	247	251	97
246	247	250	97
246	247	249	97
246	247	248	97
246	247	247	97
246	247	246	97
246	247	245	96
246	246	255	98
246	246	254	98
246	246	253	97
246	246	252	97
246	246	251	97
246	246	250	97
246	246	249	97
246	246	248	97
246	246	247	97
246	246	246	96
246	246	245	96
246	245	255	98
246	245	254	97
246	245	253	97
246	245	252	97
246	245	251	97
246	245	250	97
246	245	249	97
246	245	248	97
246	245	247	96
246	245	246	96
246	245	245	96
245	255	255	99
245	255	254	99
245	255	253	98
245	255	252	98
245	255	251	98
245	255	250	98
245	255	249	98
245	255	248	98
245	255	247	98
245	255	246	98
245	255	245	97
245	254	255	99
245	254	254	98
245	254	253	98
245	254	252	98
245	254	251	98
245	254	250	98
245	254	249	98
245	254	248	98
245	254	247	98
245	254	246	97
245	254	245	97
245	253	255	98
245	253	254	98
245	253	253	98
245	253	252	98
245	253	251	98
245	253	250	98
245	253	249	98
245	253	248	98
245	253	247	97
245	253	246	97
245	253	245	97
245	252	255	98
245	252	254	98
245	252	253	98
245	252	252	98
245	252	251	98
245	252	250	98
245	252	249	98
245	252	248	97
245	252	247	97
245	252	246	97
245	252	245	97
245	251	255	98
245	251	254	98
245	251	253	98
245	251	252	98
245	251	251	98
245	251	250	98
245	251	249	97
245	251	248	97
245	251	247	97
245	251	246	97
245	251	245	97
245	250	255	98
245	250	254	98
245	250	253	98
245	250	252	98
245	250	251	98
245	250	250	97
245	250	249	97
245	250	248	97
245	250	247	97
245	250	246	97
245	250	245	97
245	249	255	98
245	249	254	98
245	249	253	98
245	249	252	98
245	249	251	97
245	249	250	97
245	249	249	97
245	249	248	97
245	249	247	97
245	249	246	97
245	249	245	97
245	248	255	98
245	248	254	98
245	248	253	98
245	248	252	97
245	248	251	97
245	248	250	97
245	248	249	97
245	248	248	97
245	248	247	97
245	248	246	97
245	248	245	96
245	247	255	98
245	247	254	98
245	247	253	97
245	247	252	97
