-- open spool at Fri May 11 17:02:47 CEST 2012
Tables
-------------+----------------------+------------+---------+
 TABLE_SCHEM |      TABLE_NAME      | TABLE_TYPE | REMARKS |
 CLIENT1     | LCT001_IST           | TABLE      | [NULL]  |
 CLIENT1     | LCT001_ITY           | TABLE      | [NULL]  |
 CLIENT1     | LCT001_IUFF          | TABLE      | [NULL]  |
 CLIENT1     | LCT001_IUS           | TABLE      | [NULL]  |
 CLIENT1     | LCT001_LCT001        | TABLE      | [NULL]  |
 CLIENT1     | LCT003_IBT           | TABLE      | [NULL]  |
 CLIENT1     | LCT003_IHXF          | TABLE      | [NULL]  |
 CLIENT1     | LCT003_ILTDF         | TABLE      | [NULL]  |
 CLIENT1     | LCT003_ILTF          | TABLE      | [NULL]  |
 CLIENT1     | LCT003_INT           | TABLE      | [NULL]  |
 CLIENT1     | LCT003_IRT           | TABLE      | [NULL]  |
 CLIENT1     | LCT003_IST           | TABLE      | [NULL]  |
 CLIENT1     | LCT003_ITY           | TABLE      | [NULL]  |
 CLIENT1     | LCT003_IUFF          | TABLE      | [NULL]  |
 CLIENT1     | LCT003_IUS           | TABLE      | [NULL]  |
 CLIENT1     | LCT003_LCT003        | TABLE      | [NULL]  |
 CLIENT1     | LCT005_IBT           | TABLE      | [NULL]  |
 CLIENT1     | LCT005_IHXF          | TABLE      | [NULL]  |
 CLIENT1     | LCT005_ILTDF         | TABLE      | [NULL]  |
 CLIENT1     | LCT005_ILTF          | TABLE      | [NULL]  |
 CLIENT1     | LCT005_INT           | TABLE      | [NULL]  |
 CLIENT1     | LCT005_IRT           | TABLE      | [NULL]  |
 CLIENT1     | LCT005_IST           | TABLE      | [NULL]  |
 CLIENT1     | LCT005_ITY           | TABLE      | [NULL]  |
 CLIENT1     | LCT005_IUFF          | TABLE      | [NULL]  |
 CLIENT1     | LCT005_IUS           | TABLE      | [NULL]  |
 CLIENT1     | LCT005_LCT005        | TABLE      | [NULL]  |
 CLIENT1     | LCT007_IBT           | TABLE      | [NULL]  |
 CLIENT1     | LCT007_IEQ           | TABLE      | [NULL]  |
 CLIENT1     | LCT007_ILTDF         | TABLE      | [NULL]  |
 CLIENT1     | LCT007_ILTF          | TABLE      | [NULL]  |
