13;Rue BOUGUEREAU;17000;LA ROCHELLE
40;Rue BRAILLE;17000;LA ROCHELLE
28;Rue BRAILLE;17000;LA ROCHELLE
49;Rue BRAILLE;17000;LA ROCHELLE
5 BIS;Rue BRAILLE;17000;LA ROCHELLE
28;Rue BRAILLE;17000;LA ROCHELLE
28;Rue BRAILLE;17000;LA ROCHELLE
73;Rue BRAILLE;17000;LA ROCHELLE
45;Rue BRAILLE;17000;LA ROCHELLE
28;Rue BRAILLE;17000;LA ROCHELLE
11;Rue DES BRANDES;17000;LA ROCHELLE
5;Rue BRETIGNIERE;17000;LA ROCHELLE
2;Impasse DES BRISES;17000;LA ROCHELLE
6;Rue BROSSARD DE BEAULIEU;17000;LA ROCHELLE
15;Allée DE BRUXELLES;17000;LA ROCHELLE
31;Allée DE BRUXELLES;17000;LA ROCHELLE
19;Allée DE BRUXELLES;17000;LA ROCHELLE
19;Allée DE BRUXELLES;17000;LA ROCHELLE
25;Allée DE BRUXELLES;17000;LA ROCHELLE
19;Allée DE BRUXELLES;17000;LA ROCHELLE
11;Allée DE BRUXELLES;17000;LA ROCHELLE
16;Avenue DE BUCAREST;17000;LA ROCHELLE
1;Avenue DE BUCAREST;17000;LA ROCHELLE
16;Avenue DE BUCAREST;17000;LA ROCHELLE
5;Rue BUFFETERIE;17000;LA ROCHELLE
12;Rue BUFFETERIE;17000;LA ROCHELLE
5;Rue BUFFETERIE;17000;LA ROCHELLE
3 BIS;Rue BURGAUD DES MARETS;17000;LA ROCHELLE
3;Rue BURGAUD DES MARETS;17000;LA ROCHELLE
3;Rue DU CABESTAN;17000;LA ROCHELLE
1;Rue DU CABESTAN;17000;LA ROCHELLE
1;Rue DU CABESTAN;17000;LA ROCHELLE
4;Rue DE CAEN;17000;LA ROCHELLE
4;Rue DE CAEN;17000;LA ROCHELLE
1;Rue DE CAEN;17000;LA ROCHELLE
33;Rue DE CALAIS;17000;LA ROCHELLE
12;Rue DE CALAIS;17000;LA ROCHELLE
4;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
6;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
